	[Abort Jobs]
	OID	CID	Abort	Delay
[1]	267	1	131	101
[2]	117	1	131	86
[3]	119	2	500	494
[4]	206	2	500	403
[5]	370	1	583	82
[6]	205	0	601	0
[7]	107	0	603	0
[8]	108	0	604	0
[9]	101	1	608	7
[10]	103	1	608	7
[11]	105	1	608	7
[12]	102	2	687	86
[13]	104	2	687	86
[14]	106	2	687	86
	[Jobs Done]
	OID	CID	Departure	Delay
[1]	120	1	6	0
[2]	121	2	3	0
[3]	272	1	11	5
[4]	131	2	98	1
[5]	111	1	15	5
[6]	116	1	21	9
[7]	298	1	103	13
[8]	274	1	229	81
[9]	115	2	107	92
[10]	122	1	251	0
[11]	135	1	508	0
[12]	142	2	581	0
[13]	132	1	607	0
[14]	231	2	687	0
[Average Delay]	58.96 ms
[Success Rate]	50.00 %
