	[Abort Jobs]
	OID	CID	Abort	Delay
[1]	23	1	150	100
[2]	67	0	160	0
[3]	68	0	160	0
[4]	69	0	160	0
[5]	12	1	161	1
[6]	13	2	161	1
[7]	15	2	161	1
[8]	66	2	161	1
[9]	16	0	162	2
[10]	25	2	163	2
[11]	49	0	176	0
[12]	46	0	177	4
[13]	47	1	179	6
[14]	48	0	179	6
	[Jobs Done]
	OID	CID	Departure	Delay
[1]	21	1	150	0
[2]	22	2	60	0
[3]	54	2	70	10
[4]	55	2	151	0
[5]	10	2	161	0
[6]	11	1	161	0
[7]	14	1	162	1
[8]	24	2	163	0
[9]	32	1	167	0
[10]	33	2	169	0
[11]	34	1	168	2
[12]	35	1	170	1
[13]	45	1	177	0
[Average Delay]	5.11 ms
[Success Rate]	48.15 %
